Empresa
1 Time Invest
1A Investimentos
2D Investimentos
3A Investimentos
3J Capital
3Q Asset
3R Investimentos
3VR Investimentos e Proteção
3W Investimentos
4 Follhas Capital
4K Investimentos
4P Investimentos
4trader Investimentos
4UM Investimentos
A Figueira Investimentos
A2A Invest
A3S Investimentos
A7 Capital
AAX Investimentos
Absolute Investimentos
Acácias Investimentos
Acanto Invest
AçãoBrasil Investimentos
Accanto Investimentos
Ace Capital
Acqua Vero
ACT Investimentos
ACTA Family Office
Acura Capital Gestora de Recursos
Acuto Capital
ADAM CAPITAL
ADAM Wealth
Adami Captal
ADAPTE INVEST - Assessoria de Investimentos da Necton
Addere Capital
ADH INVEST AAI
ADR ASSESSORIA DE INVESTIMENTOS
Advento Capital
Aeté Capital
AF Invest - Gestão de Investimentos
AFFA Capital
AFFINITY INVESTIMENTOS | SAFRA INVEST
Áfira AI
Áfira Investimentos
AFS Capital
AGBI Real Assets
AGG Investimentos
Agnus Investimentos
Agrega Investimentos & Corporate
AgroGT
Aguila Capital
AkiVC Invest
Alaska Asset Management
Alcance Investimentos
Algarve Capital
Algo Invest
Alianco Investimentos
Alianza Investimentos Imobiliários
Aliat Investimentos
Align Investimentos
Alis Investimentos
All Investimentos  - XP Investimentos
Allez Invest
Allora Investimentos
Allure Capital Investimentos
Allux Investimentos
Almirath Investimentos
Alocc Gestão Patrimonial
ALP Investimentos
Alpes Investimentos
Alphabot
AlphaKey Capital Management
Alphatree Capital
Alphaways
Alpina AAI
Alta Vista Investimentos
Altre
Alvo Investimentos | XP
Alza
Amalfi Capital
Amaná Investimentos
AMARE INVESTIMENTOS
AMB Family Office
AMG Capital – Assessor de Investimentos do BTG Pactual
Angá Asset Management
ANGATU Private
ANGATU Private
Angra Partners
ANGULAR INVESTIMENTOS | SAFRA INVEST
Antera Gestão de Recursos
Åpen Capital
Apex Capital LTDA
Apex Partners
API Capital Investimentos
Ápice Investimentos
Aplicação Certa
Aplix Capital
Aplix Investimentos
Apo Capital
Apollo Investimentos
Apolo Asset
Aponto Capital
Apu Capital
Apuama Capital
APX Invest
Aqua Capital
Aqua Wealth Management S.A.
Aquiraz Investimentos
AR2 Investimentos
ARAM CAPITAL
Arassá Investimentos
Arbor Capital
Arca Investimentos XP
Arcani Investimentos
Arch Capital
Archx Advisors
Argentum Investimentos
Argo Invest
Argo Investimentos
Argos Capital
Arizona Capital
Ark Investimentos
ARKA Investimentos
ARM Invest
Armada Asset | Multi Family Office
Armor Capital
Arpoz Capital
Ártemis Gestão de Recursos
Artemis Investimentos
Artesanal Investimentos
Ártica
ASCOR INVESTIMENTOS
Aspen Investimentos
ASQ Capital
Assessor XP Investimentos
Asset 1 - Investment Company
Asteca Invest
Astella
Aster Capital
Aston Capital
Astor Capital
Astra Capital
Atena Capital
Atex Investimentos
Athena Capital Gestão de Recursos
Athena-BGA Investimentos
Athivos Investimentos
Atika Investimentos
Ativa Investimentos
AtivaAgro Invest | Agente Autônomo de Investimentos Credenciada à XP Investimentos
Ativore Asset Management
Atlanta Invest
Atlantic Invest
Atlas Invest
Atlas One Investimentos
Atmos Capital
Atmosphere Capital
Aton Capital
ATR Gestão
Atrio Investimentos
Audace Investimentos
AUGE Investimentos | Safra Invest
Augme Capital
Aura
Aureus Investimentos
Auro Capital
Auroque Investimentos
Autem Investimentos
Avalon Capital Gestora de Recursos
Avantgarde Asset Management
Avanza Capital
Ave Rara | XP Investimentos
Ável Investimentos
Avenir Invest
Aventis Asset
Aventos
Avenue
Avere Partners
AVG Capital
AW Capital Investimentos | BTG Pactual
Aware Investments
Axios Capital
AZ Guidance | Gestão de Patrimônio
Azerinter
AZG Investimentos
Azimut Brasil Wealth Management
Azul Capital
AZUL INVESTIMENTOS
Azumi Investimentos
Azure Investimentos
B.Side Investimentos
B&G Capital
B22 Investimentos | Assessoria de Investimentos da Necton
Bahia Asset Management
Baluarte Capital
Banco BOCOM BBM
